Province	Mall Chain	Branch
Ayutthaya	Ayutthaya City Park	Ayutthaya
Ayutthaya	Central	Ayutthaya
Ayutthaya	Robinson	Ayutthaya
Bangkok	Big C	On Nut
Bangkok	Big C	Rajdamri
Bangkok	Big C	Rama 2
Bangkok	Big C	Rama 4
Bangkok	Big C	Rangsit
Bangkok	Big C	Ratchadaphisek
Bangkok	Big C	Saphan Khwai
Bangkok	Big C	Suksawat
Bangkok	Big C	Tiwanon
Bangkok	Center One	Victory Monument
Bangkok	Central	Bangna
Bangkok	Central	Bangna
Bangkok	Central	Chaeng Watthana
Bangkok	Central	Chidlom
Bangkok	Central	EastVille
Bangkok	Central	Ladprao
Bangkok	Central	Mahachai
Bangkok	Central	Nakhon Pathom
Bangkok	Central	Park
Bangkok	Central	Pinklao
Bangkok	Central	Rama 2
Bangkok	Central	Rama 3
Bangkok	Central	Rama 9
Bangkok	Central	Ramindra
Bangkok	Central	Rattanathibet
Bangkok	Central	Salaya
Bangkok	Central	WestGate
Bangkok	Central	World
Bangkok	Emporium	Emporium
Bangkok	EmQuartier	EmQuartier
Bangkok	EmSphere	EmSphere
Bangkok	Fashion Island	Fashion Island
Bangkok	Future Park	Rangsit
Bangkok	Int-Intersect Rama 3	Int-Intersect Rama 3
Bangkok	Lotus's	Bang Bua Thong
Bangkok	Lotus's	Bang Yai
Bangkok	Lotus's	Bangkapi
Bangkok	Lotus's	Navanakorn
Bangkok	Lotus's	Phatthanakan
Bangkok	Lotus's	Pinklao
Bangkok	Lotus's	Rama 1
Bangkok	Lotus's	Rama 2
Bangkok	Lotus's	Rangsit
Bangkok	Market Place	Krungthepkreetha
Bangkok	Market Place	Nanglinchee
Bangkok	Market Village	Klong 4
Bangkok	Market Village	Suvarnabhumi
Bangkok	MBK	MBK Center
Bangkok	Mega Bangna	Mega Bangna
Bangkok	Robinson	Don Hua Lo
Bangkok	Robinson	Rangsit
Bangkok	Robinson	Ratchaphruek
Bangkok	Robinson	Samut Prakan
Bangkok	Robinson	Srisaman
Bangkok	Robinson	Suvarnabhumi
Bangkok	Seacon	Bangkae
Bangkok	Seacon	Srinakarin
Bangkok	Siam Center	Siam Center
Bangkok	Siam Discovery	Siam Discovery
Bangkok	Siam Paragon	Siam Paragon
Bangkok	Sino Park	SinoPark Preaksa
Bangkok	Terminal 21	Asok
Bangkok	Terminal 21	Rama 3
Bangkok	The Jas Green Village Ramkhamhaeng	The Jas Green Village Ramkhamhaeng
Bangkok	The Mall	Bangkae
Bangkok	The Mall	Bangkapi
Bangkok	The Mall	Lifestore Thapra
Bangkok	The Paseo	Latkrabang
Bangkok	The Promenade	Ramindra
Bangkok	The Street	Ratchada
Bangkok	Zpell	Rangsit
Buriram	Robinson	Buriram
Chachoengsao	Robinson	Chachoengsao
Chanthaburi	Central	Chanthaburi
Chanthaburi	Robinson	Chanthaburi
Chiang Mai	Central	Chiang Mai
Chiang Mai	Central	Chiang Mai Airport
Chiang Mai	MAYA	Lifestyle Shopping Center
Chiang Mai	Meechok Plaza	Meechok Plaza
Chiang Mai	Pantip	Chiang Mai
Chiang Rai	Big C	Chiang Rai
Chiang Rai	Big C	Chiang Rai
Chiang Rai	Central	Chiang Rai
Chomphon	Lotus's	Chumphon
Chon Buri	Big C	Sattahip
Chon Buri	Central	Chonburi
Chon Buri	Central	Marina
Chon Buri	Central	Pattaya
Chon Buri	Central	Sriracha
Chon Buri	Harbor Mall	Laemchabang
Chon Buri	Lotus's	Ban Bueng
Chon Buri	Lotus's	Sriracha
Chon Buri	Mike Shopping Mall	Pattaya
Chon Buri	Pacific Park	Sriracha
Chon Buri	Robinson	Lifestyle Bowin
Chon Buri	Robinson	Sriracha
Chon Buri	Royal Garden Plaza	Pattaya
Chon Buri	Terminal 21	Pattaya
Chon Buri	Tukcom	Chonburi
Chon Buri	Tukcom	Sriracha
Kalasin	Big C	Kalasin
Kalasin	Lotus's	Kuchinarai
Kalasin	Makro	Kalasin
Kamphaeng Phet	Big C	Kamphaeng Phet
Kamphaeng Phet	Robinson	Kamphaeng Phet
kanchanaburi	Lotus's	kanchanaburi
Khon Kaen	Big C	Don Bom
Khon Kaen	Big C	Khon Kaen 2
Khon Kaen	Central	Khon Kaen
Khon Kaen	Central	Khon Kaen Campus
Khon Kaen	Fairy Plaza	Khon Kaen
Korat	Central	Korat
Korat	Lotus's	Pak Chong
Korat The Mall	Lifestore Korat
Korat Terminal 21	Korat
Krabi	Big C	Krabi
Krabi	Central	Krabi
Krabi	Lotus's	Krabi
Lampang	Big C	Lampang
Lampang	Central	Lampang
Loei	Big C	Loei
Lopburi	Robinson	Lopburi
Maha Sarakham	Makro	Maha Sarakham
Mukdahan	Lotus's	Mukdahan
Nakhon Pathom	Big C	Nakhon Pathom
